x,y,target,stimulus_id
3.2416675,5.0561986,Fem,M7FLctp7tMk
5.6327443,8.302745,Mix,MUq2VCSi-bs
1.6947061,6.3787637,Mix,MbDAn99yLwA
2.2463906,7.135444,Fem,Mjrbh-vceUE
3.3103771,4.8209023,Mix,MzsYGbir9i4
4.8505707,3.877237,Mix,NHcDF9wyXpM
5.39329,5.5883775,Mix,NLBZzszOhx0
1.1316159,4.5326586,Masc,NOpz_7iEGD4
2.0981693,5.5886335,Fem,NW9w3nKtjO4
7.070329,8.119447,Masc,Njz2KfUZ36o
1.3073131,5.828383,Fem,Nvc5N3L3yjA
8.326804,7.792673,Masc,O-h2PeR39PI
5.616042,7.564433,Fem,OdDQthpq2Xo
3.83658,4.5415792,Mix,Or8zUkmZGNc
4.8730807,8.204072,Mix,OrXJVDkRmis
7.3143272,8.339105,Fem,OxNe4IUIVk4
7.1802864,5.7950177,Mix,P1TUfuacr-s
8.242258,5.9714694,Masc,P2IVTQfNTmo
4.3226233,7.86791,Fem,PN1BbPGS_RQ
3.071971,6.9597945,Mix,PjA-VYesTtw
8.087807,7.365164,Masc,PlFJmhRZsc8
5.1736073,7.0618286,Mix,PowcVq11vCg
2.7670407,7.618509,Fem,Q1OhEKfG4N0
1.6550118,6.100845,Fem,Q59nlktSIkw
0.8622046,5.3014665,Fem,QPABdbp7RFw
5.0361,8.040549,Fem,QV2snXd5ZlQ
5.107198,4.1899314,Mix,QhM5cqvPfb0
5.218662,5.4993277,Fem,QjMA3hc_PVA
2.542129,7.36189,Mix,QqonAr7ajPg
6.320864,8.283926,Masc,Qrt4cA5Te_Y
6.3023005,7.0381684,Fem,R3nQ2yAqag4
6.4681025,8.14958,Mix,RBB1cYpAFbc
5.0833325,6.367553,Mix,RIotfIo1Blc
5.774059,7.5607405,Fem,RKhuCkwN-HQ
2.3430839,4.869744,Mix,RWhvhHg8JnU
7.8570747,8.155015,Masc,RcXaVTonC7c
7.7306542,7.967113,Masc,RuAaIaNv48k
2.6064832,4.701238,Mix,S6qGevXNPaw
7.4667726,6.0714526,Masc,S8Sob8gzlUg
7.6344876,7.685361,Mix,SFDQWY3IQ6A
6.9893293,5.415937,Masc,SGDKdsICiPE
7.7614226,5.5402236,Masc,SLSo8iqFsFE
1.2834269,4.8256,Fem,SXkaG2VNqbE
4.5289955,4.116746,Mix,SeLZVNxsX2w
5.8249207,8.1335945,Mix,SlYasXQ36eE
6.0449877,8.511496,Masc,T6oQFzxk8HU
6.9840097,8.089402,Masc,TFHBEkqysRU
6.850354,7.596555,Mix,THOQ7SmlwJc
2.019296,5.7369113,Mix,TLdsiPBq3IE
2.9885325,7.6373186,Mix,Tk7PvxU93oA
6.948942,6.269866,Mix,Tubf9a3Asxw
6.8110127,5.140186,Masc,Tv-pC4g9Tp8
5.3580275,7.1941714,Mix,U8w09p6T8r4
6.4764123,7.5044236,Mix,UZCoc30OxOE
7.961114,8.123474,Masc,UZI85fGTuAM
7.871376,7.4517035,Masc,Uyp8N1f5Hrg
1.9723084,6.6891146,Mix,V5-Q-DY8WFM
5.95706,6.305229,Mix,VFXSd8qc7Xk
2.8150396,4.640129,Fem,VIqv8YRVDuY
7.7125573,5.3862453,Masc,VLM53mDZT4U
2.278718,5.958906,Mix,VhOKmLf9JY8
6.92443,7.768319,Masc,W8z5glKz39Y
8.306699,7.890904,Masc,WXom9NTISb8
7.3735147,6.9389067,Mix,WYtavoRz-Jc
